id,num_non_family,num_guests,travel,num_cooks,pri_prot,num_sides,num_veggies,num_desserts,marker_color
1,3,12,out,many,ham,9,3,5,p
2,2,19,out,many,turkey,10,5,2,p
3,7,15,in,many,ham,8,3,3,g
4,1,8,in,many,ham,5,1,2,p
5,0,9,out,many,turkey,5,3,3,g
6,3,15,out,many,turkey,8,4,4,p
7,2,15,out,many,turkey,8,5,4,p
8,1,7,out,many,turkey,5,3,3,g
9,0,9,out,many,turkey,6,3,1,g
10,2,12,out,many,turkey,7,4,6,p
11,4,10,out,many,turkey,10,2,4,g
12,1,1,in,one,turkey,5,1,2,p
13,3,4,in,many,lamb,0,0,0,g
14,0,14,in,one,turkey,6,2,3,p
15,0,8,out,many,ham,4,2,3,g
